svgs2k	HandSvgs	hvgs	svgs
ENSG00000174748	ENSG00000143612	ENSG00000143612	ENSG00000174748
ENSG00000126217	ENSG00000161671	ENSG00000161671	ENSG00000126217
ENSG00000178741	ENSG00000233016	ENSG00000233016	ENSG00000178741
ENSG00000119705	ENSG00000116729	ENSG00000116729	ENSG00000119705
ENSG00000116857	ENSG00000146425	ENSG00000146425	ENSG00000116857
ENSG00000134717	ENSG00000136717	ENSG00000136717	ENSG00000134717
ENSG00000175130	ENSG00000127946	ENSG00000127946	ENSG00000175130
ENSG00000103160	ENSG00000272398	ENSG00000272398	ENSG00000103160
ENSG00000106052	ENSG00000097033	ENSG00000097033	ENSG00000106052
ENSG00000140718	ENSG00000125398	ENSG00000125398	ENSG00000140718
ENSG00000172889	ENSG00000128699	ENSG00000128699	ENSG00000172889
ENSG00000112697	ENSG00000100906	ENSG00000100906	ENSG00000112697
ENSG00000088832	ENSG00000055070	ENSG00000055070	ENSG00000088832
ENSG00000109133	ENSG00000143321	ENSG00000143321	ENSG00000109133
ENSG00000127540	ENSG00000116171	ENSG00000116171	ENSG00000127540
ENSG00000040933	ENSG00000167863	ENSG00000167863	ENSG00000040933
ENSG00000162433	ENSG00000147862	ENSG00000147862	ENSG00000162433
ENSG00000245910	ENSG00000100842	ENSG00000100842	ENSG00000245910
ENSG00000166441	ENSG00000101126	ENSG00000101126	ENSG00000166441
ENSG00000161057	ENSG00000033327	ENSG00000033327	ENSG00000161057
ENSG00000020129	ENSG00000157851	ENSG00000157851	ENSG00000020129
ENSG00000182247	ENSG00000144339	ENSG00000144339	ENSG00000182247
ENSG00000173598	ENSG00000182180	ENSG00000182180	ENSG00000173598
ENSG00000111961	ENSG00000163463	ENSG00000163463	ENSG00000111961
ENSG00000074416	ENSG00000254584	ENSG00000254584	ENSG00000074416
ENSG00000185774	ENSG00000227544	ENSG00000227544	ENSG00000185774
ENSG00000109654	ENSG00000159784	ENSG00000159784	ENSG00000109654
ENSG00000179091	ENSG00000172775	ENSG00000172775	ENSG00000179091
ENSG00000135108	ENSG00000066032	ENSG00000066032	ENSG00000135108
ENSG00000136521	ENSG00000243147	ENSG00000243147	ENSG00000136521
ENSG00000130066	ENSG00000189337	ENSG00000189337	ENSG00000130066
ENSG00000132563	ENSG00000080493	ENSG00000080493	ENSG00000132563
ENSG00000061918	ENSG00000174775	ENSG00000174775	ENSG00000061918
ENSG00000198668	ENSG00000119917	ENSG00000119917	ENSG00000198668
ENSG00000170525	ENSG00000151247	ENSG00000151247	ENSG00000170525
ENSG00000157216	ENSG00000126016	ENSG00000126016	ENSG00000157216
ENSG00000107372	ENSG00000103507	ENSG00000103507	ENSG00000107372
ENSG00000152556	ENSG00000103449	ENSG00000103449	ENSG00000152556
ENSG00000135624	ENSG00000153037	ENSG00000153037	ENSG00000135624
ENSG00000186462	ENSG00000138434	ENSG00000138434	ENSG00000186462
ENSG00000158109	ENSG00000196628	ENSG00000196628	ENSG00000158109
ENSG00000116661	ENSG00000162073	ENSG00000162073	ENSG00000116661
ENSG00000108946	ENSG00000147162	ENSG00000147162	ENSG00000108946
ENSG00000104964	ENSG00000198931	ENSG00000198931	ENSG00000104964
ENSG00000008394	ENSG00000130332	ENSG00000130332	ENSG00000008394
ENSG00000130175	ENSG00000120438	ENSG00000120438	ENSG00000130175
ENSG00000185896	ENSG00000079999	ENSG00000079999	ENSG00000185896
ENSG00000157514	ENSG00000164303	ENSG00000164303	ENSG00000157514
ENSG00000110107	ENSG00000134278	ENSG00000134278	ENSG00000110107
ENSG00000115944	ENSG00000166562	ENSG00000166562	ENSG00000115944
ENSG00000109846	ENSG00000122367	ENSG00000122367	ENSG00000109846
ENSG00000219200	ENSG00000186340	ENSG00000186340	ENSG00000219200
ENSG00000037042	ENSG00000141744	ENSG00000141744	ENSG00000037042
ENSG00000136531	ENSG00000151726	ENSG00000151726	ENSG00000136531
ENSG00000100380	ENSG00000187713	ENSG00000187713	ENSG00000100380
ENSG00000182670	ENSG00000174307	ENSG00000174307	ENSG00000182670
ENSG00000186501	ENSG00000132541	ENSG00000132541	ENSG00000186501
ENSG00000137285	ENSG00000083290	ENSG00000083290	ENSG00000137285
ENSG00000174485	ENSG00000170231	ENSG00000170231	ENSG00000174485
ENSG00000100321	ENSG00000115486	ENSG00000115486	ENSG00000100321
ENSG00000168653	ENSG00000148730	ENSG00000148730	ENSG00000168653
ENSG00000170043	ENSG00000183726	ENSG00000183726	ENSG00000170043
ENSG00000072832	ENSG00000181924	ENSG00000181924	ENSG00000072832
ENSG00000125503	ENSG00000109501	ENSG00000109501	ENSG00000125503
ENSG00000165782	ENSG00000115128	ENSG00000115128	ENSG00000165782
ENSG00000102038	ENSG00000176381	ENSG00000176381	ENSG00000102038
ENSG00000155506	ENSG00000165410	ENSG00000165410	ENSG00000155506
ENSG00000077549	ENSG00000105819	ENSG00000105819	ENSG00000077549
ENSG00000149295	ENSG00000116044	ENSG00000116044	ENSG00000149295
ENSG00000198911	ENSG00000184007	ENSG00000184007	ENSG00000198911
ENSG00000115419	ENSG00000104408	ENSG00000104408	ENSG00000115419
ENSG00000168036	ENSG00000046889	ENSG00000046889	ENSG00000168036
ENSG00000198894	ENSG00000128050	ENSG00000128050	ENSG00000198894
ENSG00000084090	ENSG00000161544	ENSG00000161544	ENSG00000084090
ENSG00000166313	ENSG00000176956	ENSG00000176956	ENSG00000166313
ENSG00000197728	ENSG00000080371	ENSG00000080371	ENSG00000197728
ENSG00000115738	ENSG00000170759	ENSG00000170759	ENSG00000115738
ENSG00000174917	ENSG00000187239	ENSG00000187239	ENSG00000174917
ENSG00000132702	ENSG00000151239	ENSG00000151239	ENSG00000132702
ENSG00000077235	ENSG00000148218	ENSG00000148218	ENSG00000077235
ENSG00000173692	ENSG00000168002	ENSG00000168002	ENSG00000173692
ENSG00000092820	ENSG00000257337	ENSG00000257337	ENSG00000092820
ENSG00000144369	ENSG00000022267	ENSG00000022267	ENSG00000144369
ENSG00000167081	ENSG00000162692	ENSG00000162692	ENSG00000167081
ENSG00000132507	ENSG00000185046	ENSG00000185046	ENSG00000132507
ENSG00000128656	ENSG00000253738	ENSG00000253738	ENSG00000128656
ENSG00000182901	ENSG00000182871	ENSG00000182871	ENSG00000182901
ENSG00000243279	ENSG00000173599	ENSG00000173599	ENSG00000243279
ENSG00000109184	ENSG00000184588	ENSG00000184588	ENSG00000109184
ENSG00000149925	ENSG00000168958	ENSG00000168958	ENSG00000149925
ENSG00000164405	ENSG00000232560	ENSG00000232560	ENSG00000164405
ENSG00000163875	ENSG00000130338	ENSG00000130338	ENSG00000163875
ENSG00000104112	ENSG00000129932	ENSG00000129932	ENSG00000104112
ENSG00000167778	ENSG00000179364	ENSG00000179364	ENSG00000167778
ENSG00000112379	ENSG00000198865	ENSG00000198865	ENSG00000112379
ENSG00000085662	ENSG00000136830	ENSG00000136830	ENSG00000085662
ENSG00000205339	ENSG00000114902	ENSG00000114902	ENSG00000205339
ENSG00000169021	ENSG00000165475	ENSG00000165475	ENSG00000169021
ENSG00000069956	ENSG00000168297	ENSG00000168297	ENSG00000069956
ENSG00000136238	ENSG00000243156	ENSG00000243156	ENSG00000136238
ENSG00000101246	ENSG00000179178	ENSG00000179178	ENSG00000101246
ENSG00000134824	ENSG00000144451	ENSG00000144451	ENSG00000134824
ENSG00000133983	ENSG00000264522	ENSG00000264522	ENSG00000133983
ENSG00000021645	ENSG00000145391	ENSG00000145391	ENSG00000021645
ENSG00000079246	ENSG00000162944	ENSG00000162944	ENSG00000079246
ENSG00000102317	ENSG00000162521	ENSG00000162521	ENSG00000102317
ENSG00000170606	ENSG00000167123	ENSG00000167123	ENSG00000170606
ENSG00000113851	ENSG00000128654	ENSG00000128654	ENSG00000113851
ENSG00000126005	ENSG00000197728	ENSG00000197728	ENSG00000126005
ENSG00000142089	ENSG00000065243	ENSG00000065243	ENSG00000142089
ENSG00000155304	ENSG00000174903	ENSG00000174903	ENSG00000155304
ENSG00000111911	ENSG00000132153	ENSG00000132153	ENSG00000111911
ENSG00000171724	ENSG00000074181	ENSG00000074181	ENSG00000171724
ENSG00000171604	ENSG00000170634	ENSG00000170634	ENSG00000171604
ENSG00000181195	ENSG00000211584	ENSG00000211584	ENSG00000181195
ENSG00000108518	ENSG00000245532	ENSG00000245532	ENSG00000108518
ENSG00000182287	ENSG00000184983	ENSG00000184983	ENSG00000182287
ENSG00000100146	ENSG00000139910	ENSG00000139910	ENSG00000100146
ENSG00000072062	ENSG00000186716	ENSG00000186716	ENSG00000072062
ENSG00000174775	ENSG00000157837	ENSG00000157837	ENSG00000174775
ENSG00000079785	ENSG00000135046	ENSG00000135046	ENSG00000079785
ENSG00000131558	ENSG00000136205	ENSG00000136205	ENSG00000131558
ENSG00000170915	ENSG00000203778	ENSG00000203778	ENSG00000170915
ENSG00000198853	ENSG00000102755	ENSG00000102755	ENSG00000198853
ENSG00000162595	ENSG00000100568	ENSG00000100568	ENSG00000162595
ENSG00000266402	ENSG00000164687	ENSG00000164687	ENSG00000266402
ENSG00000160948	ENSG00000167797	ENSG00000167797	ENSG00000160948
ENSG00000164061	ENSG00000063978	ENSG00000063978	ENSG00000164061
ENSG00000151176	ENSG00000114354	ENSG00000114354	ENSG00000151176
ENSG00000120437	ENSG00000140848	ENSG00000140848	ENSG00000120437
ENSG00000159352	ENSG00000185651	ENSG00000185651	ENSG00000159352
ENSG00000100884	ENSG00000158301	ENSG00000158301	ENSG00000100884
ENSG00000196814	ENSG00000106803	ENSG00000106803	ENSG00000196814
ENSG00000105855	ENSG00000213145	ENSG00000213145	ENSG00000105855
ENSG00000184983	ENSG00000025293	ENSG00000025293	ENSG00000184983
ENSG00000177156	ENSG00000101367	ENSG00000101367	ENSG00000177156
ENSG00000143862	ENSG00000154146	ENSG00000154146	ENSG00000143862
ENSG00000109390	ENSG00000159210	ENSG00000159210	ENSG00000109390
ENSG00000125166	ENSG00000162909	ENSG00000162909	ENSG00000125166
ENSG00000121769	ENSG00000112081	ENSG00000112081	ENSG00000121769
ENSG00000167191	ENSG00000143514	ENSG00000143514	ENSG00000167191
ENSG00000169255	ENSG00000173674	ENSG00000173674	ENSG00000169255
ENSG00000105894	ENSG00000125703	ENSG00000125703	ENSG00000105894
ENSG00000203875	ENSG00000178188	ENSG00000178188	ENSG00000203875
ENSG00000198689	ENSG00000113240	ENSG00000113240	ENSG00000198689
ENSG00000106683	ENSG00000165802	ENSG00000165802	ENSG00000106683
ENSG00000136279	ENSG00000138796	ENSG00000138796	ENSG00000136279
ENSG00000138698	ENSG00000160271	ENSG00000160271	ENSG00000138698
ENSG00000178531	ENSG00000257727	ENSG00000257727	ENSG00000178531
ENSG00000122679	ENSG00000164258	ENSG00000164258	ENSG00000122679
ENSG00000169567	ENSG00000119537	ENSG00000119537	ENSG00000169567
ENSG00000128524	ENSG00000153048	ENSG00000153048	ENSG00000128524
ENSG00000022355	ENSG00000166348	ENSG00000166348	ENSG00000022355
ENSG00000174574	ENSG00000130402	ENSG00000130402	ENSG00000174574
ENSG00000115963	ENSG00000142864	ENSG00000142864	ENSG00000115963
ENSG00000101940	ENSG00000106624	ENSG00000106624	ENSG00000101940
ENSG00000123989	ENSG00000137831	ENSG00000137831	ENSG00000123989
ENSG00000171223	ENSG00000103876	ENSG00000103876	ENSG00000171223
ENSG00000134202	ENSG00000096401	ENSG00000096401	ENSG00000134202
ENSG00000111328	ENSG00000132821	ENSG00000132821	ENSG00000111328
ENSG00000052802	ENSG00000083857	ENSG00000083857	ENSG00000052802
ENSG00000180304	ENSG00000124942	ENSG00000124942	ENSG00000180304
ENSG00000126934	ENSG00000150510	ENSG00000150510	ENSG00000126934
ENSG00000151320	ENSG00000163625	ENSG00000163625	ENSG00000151320
ENSG00000211584	ENSG00000108669	ENSG00000108669	ENSG00000211584
ENSG00000105854	ENSG00000240849	ENSG00000240849	ENSG00000105854
ENSG00000189171	ENSG00000169230	ENSG00000169230	ENSG00000189171
ENSG00000198843	ENSG00000132470	ENSG00000132470	ENSG00000198843
ENSG00000188243	ENSG00000166313	ENSG00000166313	ENSG00000188243
ENSG00000165233	ENSG00000111077	ENSG00000111077	ENSG00000165233
ENSG00000136450	ENSG00000013441	ENSG00000013441	ENSG00000136450
ENSG00000078596	ENSG00000182196	ENSG00000182196	ENSG00000078596
ENSG00000163956	ENSG00000123131	ENSG00000123131	ENSG00000163956
ENSG00000144566	ENSG00000205981	ENSG00000205981	ENSG00000144566
ENSG00000168092	ENSG00000188554	ENSG00000188554	ENSG00000168092
ENSG00000167123	ENSG00000125375	ENSG00000125375	ENSG00000167123
ENSG00000066468	ENSG00000124209	ENSG00000124209	ENSG00000066468
ENSG00000241837	ENSG00000147669	ENSG00000147669	ENSG00000241837
ENSG00000177628	ENSG00000134153	ENSG00000134153	ENSG00000177628
ENSG00000184076	ENSG00000121905	ENSG00000121905	ENSG00000184076
ENSG00000132432	ENSG00000102265	ENSG00000102265	ENSG00000132432
ENSG00000115977	ENSG00000169062	ENSG00000169062	ENSG00000115977
ENSG00000196507	ENSG00000130724	ENSG00000130724	ENSG00000196507
ENSG00000155886	ENSG00000133048	ENSG00000133048	ENSG00000155886
ENSG00000108344	ENSG00000173848	ENSG00000173848	ENSG00000108344
ENSG00000182004	ENSG00000137133	ENSG00000137133	ENSG00000182004
ENSG00000108797	ENSG00000070761	ENSG00000070761	ENSG00000108797
ENSG00000102409	ENSG00000169180	ENSG00000169180	ENSG00000102409
ENSG00000159082	ENSG00000165283	ENSG00000165283	ENSG00000159082
ENSG00000187764	ENSG00000103184	ENSG00000103184	ENSG00000187764
ENSG00000132963	ENSG00000136636	ENSG00000136636	ENSG00000132963
ENSG00000173915	ENSG00000221887	ENSG00000221887	ENSG00000173915
ENSG00000211445	ENSG00000114439	ENSG00000114439	ENSG00000211445
ENSG00000107798	ENSG00000168575	ENSG00000168575	ENSG00000107798
ENSG00000125356	ENSG00000152954	ENSG00000152954	ENSG00000125356
ENSG00000110651	ENSG00000105669	ENSG00000105669	ENSG00000110651
ENSG00000090316	ENSG00000176105	ENSG00000176105	ENSG00000090316
ENSG00000084623	ENSG00000063241	ENSG00000063241	ENSG00000084623
ENSG00000115896	ENSG00000103479	ENSG00000103479	ENSG00000115896
ENSG00000115053	ENSG00000059691	ENSG00000059691	ENSG00000115053
ENSG00000078369	ENSG00000118473	ENSG00000118473	ENSG00000078369
ENSG00000130558	ENSG00000175265	ENSG00000175265	ENSG00000130558
ENSG00000117318	ENSG00000115866	ENSG00000115866	ENSG00000117318
ENSG00000182093	ENSG00000148468	ENSG00000148468	ENSG00000182093
ENSG00000109099	ENSG00000149925	ENSG00000149925	ENSG00000109099
ENSG00000138814	ENSG00000164300	ENSG00000164300	ENSG00000138814
ENSG00000103249	ENSG00000129158	ENSG00000129158	ENSG00000103249
ENSG00000124507	ENSG00000181449	ENSG00000181449	ENSG00000124507
ENSG00000111676	ENSG00000163041	ENSG00000163041	ENSG00000111676
ENSG00000120265	ENSG00000112667	ENSG00000112667	ENSG00000120265
ENSG00000116754	ENSG00000108179	ENSG00000108179	ENSG00000116754
ENSG00000100399	ENSG00000110887	ENSG00000110887	ENSG00000100399
ENSG00000164031	ENSG00000127483	ENSG00000127483	ENSG00000164031
ENSG00000135486	ENSG00000163697	ENSG00000163697	ENSG00000135486
ENSG00000250722	ENSG00000181817	ENSG00000181817	ENSG00000250722
ENSG00000119729	ENSG00000185624	ENSG00000185624	ENSG00000119729
ENSG00000101421	ENSG00000137210	ENSG00000137210	ENSG00000101421
ENSG00000188846	ENSG00000255529	ENSG00000255529	ENSG00000188846
ENSG00000197780	ENSG00000135720	ENSG00000135720	ENSG00000197780
ENSG00000075142	ENSG00000100285	ENSG00000100285	ENSG00000075142
ENSG00000138279	ENSG00000159228	ENSG00000159228	ENSG00000138279
ENSG00000116871	ENSG00000149923	ENSG00000149923	ENSG00000116871
ENSG00000100580	ENSG00000189221	ENSG00000189221	ENSG00000100580
ENSG00000132692	ENSG00000104679	ENSG00000104679	ENSG00000132692
ENSG00000166974	ENSG00000047579	ENSG00000047579	ENSG00000166974
ENSG00000104863	ENSG00000204128	ENSG00000204128	ENSG00000104863
ENSG00000116120	ENSG00000114857	ENSG00000114857	ENSG00000116120
ENSG00000104765	ENSG00000149564	ENSG00000149564	ENSG00000104765
ENSG00000143742	ENSG00000205213	ENSG00000205213	ENSG00000143742
ENSG00000100427	ENSG00000001084	ENSG00000001084	ENSG00000100427
ENSG00000139641	ENSG00000144485	ENSG00000144485	ENSG00000139641
ENSG00000183172	ENSG00000165389	ENSG00000165389	ENSG00000183172
ENSG00000141349	ENSG00000185519	ENSG00000185519	ENSG00000141349
ENSG00000182379	ENSG00000274015	ENSG00000274015	ENSG00000182379
ENSG00000100030	ENSG00000228474	ENSG00000228474	ENSG00000100030
ENSG00000184672	ENSG00000203485	ENSG00000203485	ENSG00000184672
ENSG00000185567	ENSG00000112200	ENSG00000112200	ENSG00000185567
ENSG00000156261	ENSG00000152518	ENSG00000152518	ENSG00000156261
ENSG00000128596	ENSG00000196924	ENSG00000196924	ENSG00000128596
ENSG00000136710	ENSG00000064607	ENSG00000064607	ENSG00000136710
ENSG00000180543	ENSG00000026508	ENSG00000026508	ENSG00000180543
ENSG00000160710	ENSG00000198258	ENSG00000198258	ENSG00000160710
ENSG00000083845	ENSG00000173905	ENSG00000173905	ENSG00000083845
ENSG00000130226	ENSG00000187186	ENSG00000187186	ENSG00000130226
ENSG00000221983	ENSG00000116016	ENSG00000116016	ENSG00000221983
ENSG00000204580	ENSG00000137364	ENSG00000137364	ENSG00000204580
ENSG00000126088	ENSG00000072134	ENSG00000072134	ENSG00000126088
ENSG00000155980	ENSG00000100353	ENSG00000100353	ENSG00000155980
ENSG00000104969	ENSG00000101745	ENSG00000101745	ENSG00000104969
ENSG00000119760	ENSG00000071655	ENSG00000071655	ENSG00000119760
ENSG00000105372	ENSG00000156804	ENSG00000156804	ENSG00000105372
ENSG00000139644	ENSG00000168214	ENSG00000168214	ENSG00000139644
ENSG00000102003	ENSG00000117519	ENSG00000117519	ENSG00000102003
ENSG00000198478	ENSG00000180822	ENSG00000180822	ENSG00000198478
ENSG00000167642	ENSG00000157916	ENSG00000157916	ENSG00000167642
ENSG00000180957	ENSG00000107738	ENSG00000107738	ENSG00000180957
ENSG00000166557	ENSG00000184985	ENSG00000184985	ENSG00000166557
ENSG00000179218	ENSG00000183617	ENSG00000183617	ENSG00000179218
ENSG00000103740	ENSG00000159461	ENSG00000159461	ENSG00000103740
ENSG00000135525	ENSG00000105968	ENSG00000105968	ENSG00000135525
ENSG00000129473	ENSG00000170525	ENSG00000170525	ENSG00000129473
ENSG00000169976	ENSG00000124406	ENSG00000124406	ENSG00000169976
ENSG00000147955	ENSG00000087884	ENSG00000087884	ENSG00000147955
ENSG00000020577	ENSG00000258441	ENSG00000258441	ENSG00000020577
ENSG00000108100	ENSG00000115350	ENSG00000115350	ENSG00000108100
ENSG00000135324	ENSG00000130312	ENSG00000130312	ENSG00000135324
ENSG00000156381	ENSG00000185262	ENSG00000185262	ENSG00000156381
ENSG00000054523	ENSG00000283907	ENSG00000283907	ENSG00000054523
ENSG00000166681	ENSG00000028203	ENSG00000028203	ENSG00000166681
ENSG00000100934	ENSG00000178878	ENSG00000178878	ENSG00000100934
ENSG00000160953	ENSG00000141639	ENSG00000141639	ENSG00000160953
ENSG00000151150	ENSG00000159111	ENSG00000159111	ENSG00000151150
ENSG00000197746	ENSG00000168310	ENSG00000168310	ENSG00000197746
ENSG00000113732	ENSG00000163513	ENSG00000163513	ENSG00000113732
ENSG00000101333	ENSG00000144847	ENSG00000144847	ENSG00000101333
ENSG00000273841	ENSG00000188290	ENSG00000188290	ENSG00000273841
ENSG00000104833	ENSG00000034053	ENSG00000034053	ENSG00000104833
ENSG00000116560	ENSG00000130962	ENSG00000130962	ENSG00000116560
ENSG00000150093	ENSG00000093144	ENSG00000093144	ENSG00000150093
ENSG00000160216	ENSG00000198648	ENSG00000198648	ENSG00000160216
ENSG00000233927	ENSG00000134853	ENSG00000134853	ENSG00000233927
ENSG00000091157	ENSG00000175745	ENSG00000175745	ENSG00000091157
ENSG00000168309	ENSG00000128016	ENSG00000128016	ENSG00000168309
ENSG00000184831	ENSG00000131097	ENSG00000131097	ENSG00000184831
ENSG00000169564	ENSG00000102309	ENSG00000102309	ENSG00000169564
ENSG00000177700	ENSG00000158417	ENSG00000158417	ENSG00000177700
ENSG00000128463	ENSG00000102030	ENSG00000102030	ENSG00000128463
ENSG00000059915	ENSG00000169813	ENSG00000169813	ENSG00000059915
ENSG00000165322	ENSG00000179604	ENSG00000179604	ENSG00000165322
ENSG00000125743	ENSG00000277494	ENSG00000277494	ENSG00000125743
ENSG00000151414	ENSG00000182004	ENSG00000182004	ENSG00000151414
ENSG00000176956	ENSG00000112851	ENSG00000112851	ENSG00000176956
ENSG00000152795	ENSG00000128266	ENSG00000128266	ENSG00000152795
ENSG00000078114	ENSG00000174059	ENSG00000174059	ENSG00000078114
ENSG00000064651	ENSG00000062725	ENSG00000062725	ENSG00000064651
ENSG00000018189	ENSG00000182700	ENSG00000182700	ENSG00000018189
ENSG00000090266	ENSG00000129968	ENSG00000129968	ENSG00000090266
ENSG00000186318	ENSG00000267628	ENSG00000267628	ENSG00000186318
ENSG00000181191	ENSG00000076513	ENSG00000076513	ENSG00000181191
ENSG00000126945	ENSG00000137880	ENSG00000137880	ENSG00000126945
ENSG00000184515	ENSG00000161904	ENSG00000161904	ENSG00000184515
ENSG00000173272	ENSG00000143799	ENSG00000143799	ENSG00000173272
ENSG00000137038	ENSG00000173327	ENSG00000173327	ENSG00000137038
ENSG00000167004	ENSG00000012660	ENSG00000012660	ENSG00000167004
ENSG00000178980	ENSG00000156650	ENSG00000156650	ENSG00000178980
ENSG00000243449	ENSG00000204435	ENSG00000204435	ENSG00000243449
ENSG00000197958	ENSG00000047365	ENSG00000047365	ENSG00000197958
ENSG00000004779	ENSG00000148110	ENSG00000148110	ENSG00000004779
ENSG00000181061	ENSG00000106245	ENSG00000106245	ENSG00000181061
ENSG00000070756	ENSG00000157404	ENSG00000157404	ENSG00000070756
ENSG00000130724	ENSG00000148450	ENSG00000148450	ENSG00000130724
ENSG00000111481	ENSG00000184602	ENSG00000184602	ENSG00000111481
ENSG00000198932	ENSG00000060762	ENSG00000060762	ENSG00000198932
ENSG00000174695	ENSG00000182117	ENSG00000182117	ENSG00000174695
ENSG00000168297	ENSG00000179889	ENSG00000179889	ENSG00000168297
ENSG00000179292	ENSG00000269386	ENSG00000269386	ENSG00000179292
ENSG00000241343	ENSG00000130726	ENSG00000130726	ENSG00000241343
ENSG00000124702	ENSG00000163788	ENSG00000163788	ENSG00000124702
ENSG00000101335	ENSG00000168710	ENSG00000168710	ENSG00000101335
ENSG00000129055	ENSG00000162191	ENSG00000162191	ENSG00000129055
ENSG00000129158	ENSG00000166173	ENSG00000166173	ENSG00000129158
ENSG00000159176	ENSG00000247315	ENSG00000247315	ENSG00000159176
ENSG00000160285	ENSG00000186063	ENSG00000186063	ENSG00000160285
ENSG00000099864	ENSG00000174851	ENSG00000174851	ENSG00000099864
ENSG00000140280	ENSG00000178057	ENSG00000178057	ENSG00000140280
ENSG00000065559	ENSG00000214941	ENSG00000214941	ENSG00000065559
ENSG00000105176	ENSG00000129197	ENSG00000129197	ENSG00000105176
ENSG00000116396	ENSG00000088766	ENSG00000088766	ENSG00000116396
ENSG00000160678	ENSG00000185633	ENSG00000185633	ENSG00000160678
ENSG00000130304	ENSG00000090661	ENSG00000090661	ENSG00000130304
ENSG00000168216	ENSG00000182013	ENSG00000182013	ENSG00000168216
ENSG00000197043	ENSG00000149218	ENSG00000149218	ENSG00000197043
ENSG00000181852	ENSG00000138623	ENSG00000138623	ENSG00000181852
ENSG00000100804	ENSG00000164742	ENSG00000164742	ENSG00000100804
ENSG00000112306	ENSG00000147010	ENSG00000147010	ENSG00000112306
ENSG00000107902	ENSG00000162729	ENSG00000162729	ENSG00000107902
ENSG00000105613	ENSG00000164167	ENSG00000164167	ENSG00000105613
ENSG00000174886	ENSG00000188529	ENSG00000188529	ENSG00000174886
ENSG00000162706	ENSG00000163714	ENSG00000163714	ENSG00000162706
ENSG00000012660	ENSG00000239697	ENSG00000239697	ENSG00000012660
ENSG00000145901	ENSG00000163110	ENSG00000163110	ENSG00000145901
ENSG00000181904	ENSG00000015475	ENSG00000015475	ENSG00000181904
ENSG00000165175	ENSG00000160216	ENSG00000160216	ENSG00000165175
ENSG00000103154	ENSG00000163430	ENSG00000163430	ENSG00000103154
ENSG00000117450	ENSG00000073803	ENSG00000073803	ENSG00000117450
ENSG00000177239	ENSG00000147274	ENSG00000147274	ENSG00000177239
ENSG00000139163	ENSG00000214736	ENSG00000214736	ENSG00000139163
ENSG00000188186	ENSG00000114744	ENSG00000114744	ENSG00000188186
ENSG00000116254	ENSG00000091409	ENSG00000091409	ENSG00000116254
ENSG00000198825	ENSG00000102805	ENSG00000102805	ENSG00000198825
ENSG00000139112	ENSG00000013374	ENSG00000013374	ENSG00000139112
ENSG00000104331	ENSG00000206560	ENSG00000206560	ENSG00000104331
ENSG00000286214	ENSG00000112893	ENSG00000112893	ENSG00000286214
ENSG00000186468	ENSG00000083807	ENSG00000083807	ENSG00000186468
ENSG00000136810	ENSG00000136878	ENSG00000136878	ENSG00000136810
ENSG00000169710	ENSG00000262202	ENSG00000262202	ENSG00000169710
ENSG00000188612	ENSG00000114646	ENSG00000114646	ENSG00000188612
ENSG00000105963	ENSG00000184752	ENSG00000184752	ENSG00000105963
ENSG00000146005	ENSG00000116679	ENSG00000116679	ENSG00000146005
ENSG00000105255	ENSG00000167772	ENSG00000167772	ENSG00000105255
ENSG00000106211	ENSG00000130175	ENSG00000130175	ENSG00000106211
ENSG00000179295	ENSG00000165476	ENSG00000165476	ENSG00000179295
ENSG00000130311	ENSG00000175197	ENSG00000175197	ENSG00000130311
ENSG00000155096	ENSG00000108561	ENSG00000108561	ENSG00000155096
ENSG00000103187	ENSG00000256043	ENSG00000256043	ENSG00000103187
ENSG00000224877	ENSG00000006210	ENSG00000006210	ENSG00000224877
ENSG00000006831	ENSG00000116260	ENSG00000116260	ENSG00000006831
ENSG00000148798	ENSG00000141127	ENSG00000141127	ENSG00000148798
ENSG00000078804	ENSG00000010810	ENSG00000010810	ENSG00000078804
ENSG00000106153	ENSG00000177519	ENSG00000177519	ENSG00000106153
ENSG00000211460	ENSG00000151366	ENSG00000151366	ENSG00000211460
ENSG00000196937	ENSG00000172006	ENSG00000172006	ENSG00000196937
ENSG00000078140	ENSG00000146247	ENSG00000146247	ENSG00000078140
ENSG00000172508	ENSG00000233639	ENSG00000233639	ENSG00000172508
ENSG00000134121	ENSG00000165566	ENSG00000165566	ENSG00000134121
ENSG00000151366	ENSG00000130717	ENSG00000130717	ENSG00000151366
ENSG00000124562	ENSG00000142871	ENSG00000142871	ENSG00000124562
ENSG00000078295	ENSG00000105722	ENSG00000105722	ENSG00000078295
ENSG00000154723	ENSG00000157514	ENSG00000157514	ENSG00000154723
ENSG00000062485	ENSG00000134056	ENSG00000134056	ENSG00000062485
ENSG00000172270	ENSG00000008710	ENSG00000008710	ENSG00000172270
ENSG00000085224	ENSG00000140830	ENSG00000140830	ENSG00000085224
ENSG00000140307	ENSG00000153944	ENSG00000153944	ENSG00000140307
ENSG00000058668	ENSG00000161533	ENSG00000161533	ENSG00000058668
ENSG00000132535	ENSG00000006042	ENSG00000006042	ENSG00000132535
ENSG00000170296	ENSG00000102978	ENSG00000102978	ENSG00000170296
ENSG00000106278	ENSG00000173706	ENSG00000173706	ENSG00000106278
ENSG00000158186	ENSG00000091986	ENSG00000091986	ENSG00000158186
