svgs2k	HandSvgs	hvgs	svgs
ENSG00000132471	ENSG00000065809	ENSG00000065809	ENSG00000132471
ENSG00000047249	ENSG00000196586	ENSG00000196586	ENSG00000047249
ENSG00000239521	ENSG00000143543	ENSG00000143543	ENSG00000239521
ENSG00000151729	ENSG00000134825	ENSG00000134825	ENSG00000151729
ENSG00000167986	ENSG00000100129	ENSG00000100129	ENSG00000167986
ENSG00000140988	ENSG00000105767	ENSG00000105767	ENSG00000140988
ENSG00000175582	ENSG00000164346	ENSG00000164346	ENSG00000175582
ENSG00000111906	ENSG00000086666	ENSG00000086666	ENSG00000111906
ENSG00000152154	ENSG00000211445	ENSG00000211445	ENSG00000152154
ENSG00000139726	ENSG00000007516	ENSG00000007516	ENSG00000139726
ENSG00000010256	ENSG00000173575	ENSG00000173575	ENSG00000010256
ENSG00000069424	ENSG00000173660	ENSG00000173660	ENSG00000069424
ENSG00000130520	ENSG00000107362	ENSG00000107362	ENSG00000130520
ENSG00000026652	ENSG00000120742	ENSG00000120742	ENSG00000026652
ENSG00000182768	ENSG00000055950	ENSG00000055950	ENSG00000182768
ENSG00000182636	ENSG00000197119	ENSG00000197119	ENSG00000182636
ENSG00000169139	ENSG00000163285	ENSG00000163285	ENSG00000169139
ENSG00000130707	ENSG00000176244	ENSG00000176244	ENSG00000130707
ENSG00000134243	ENSG00000136068	ENSG00000136068	ENSG00000134243
ENSG00000055118	ENSG00000245694	ENSG00000245694	ENSG00000055118
ENSG00000179364	ENSG00000162961	ENSG00000162961	ENSG00000179364
ENSG00000116251	ENSG00000121957	ENSG00000121957	ENSG00000116251
ENSG00000100220	ENSG00000241468	ENSG00000241468	ENSG00000100220
ENSG00000197943	ENSG00000117525	ENSG00000117525	ENSG00000197943
ENSG00000214253	ENSG00000161981	ENSG00000161981	ENSG00000214253
ENSG00000002834	ENSG00000137502	ENSG00000137502	ENSG00000002834
ENSG00000149557	ENSG00000125944	ENSG00000125944	ENSG00000149557
ENSG00000213619	ENSG00000134121	ENSG00000134121	ENSG00000213619
ENSG00000104904	ENSG00000100605	ENSG00000100605	ENSG00000104904
ENSG00000111912	ENSG00000134851	ENSG00000134851	ENSG00000111912
ENSG00000166780	ENSG00000215039	ENSG00000215039	ENSG00000166780
ENSG00000146540	ENSG00000113811	ENSG00000113811	ENSG00000146540
ENSG00000019582	ENSG00000024422	ENSG00000024422	ENSG00000019582
ENSG00000113161	ENSG00000166595	ENSG00000166595	ENSG00000113161
ENSG00000126878	ENSG00000154027	ENSG00000154027	ENSG00000126878
ENSG00000068903	ENSG00000154642	ENSG00000154642	ENSG00000068903
ENSG00000213585	ENSG00000168216	ENSG00000168216	ENSG00000213585
ENSG00000067057	ENSG00000143870	ENSG00000143870	ENSG00000067057
ENSG00000169100	ENSG00000161677	ENSG00000161677	ENSG00000169100
ENSG00000106723	ENSG00000006611	ENSG00000006611	ENSG00000106723
ENSG00000071054	ENSG00000164161	ENSG00000164161	ENSG00000071054
ENSG00000185518	ENSG00000166123	ENSG00000166123	ENSG00000185518
ENSG00000089169	ENSG00000128272	ENSG00000128272	ENSG00000089169
ENSG00000169213	ENSG00000155886	ENSG00000155886	ENSG00000169213
ENSG00000151552	ENSG00000117318	ENSG00000117318	ENSG00000151552
ENSG00000126247	ENSG00000080815	ENSG00000080815	ENSG00000126247
ENSG00000166848	ENSG00000140264	ENSG00000140264	ENSG00000166848
ENSG00000260230	ENSG00000137106	ENSG00000137106	ENSG00000260230
ENSG00000258947	ENSG00000126777	ENSG00000126777	ENSG00000258947
ENSG00000117419	ENSG00000117298	ENSG00000117298	ENSG00000117419
ENSG00000142459	ENSG00000100711	ENSG00000100711	ENSG00000142459
ENSG00000110958	ENSG00000166337	ENSG00000166337	ENSG00000110958
ENSG00000182054	ENSG00000102024	ENSG00000102024	ENSG00000182054
ENSG00000160209	ENSG00000166471	ENSG00000166471	ENSG00000160209
ENSG00000168710	ENSG00000081913	ENSG00000081913	ENSG00000168710
ENSG00000182667	ENSG00000184990	ENSG00000184990	ENSG00000182667
ENSG00000112695	ENSG00000169439	ENSG00000169439	ENSG00000112695
